Ticket_no,Customer complaints,Date,Date_month_year,Time,Received via,City,State,Zip,Status,Filling on behalf of someone
363695,Internet Availability and Speed,2015-06-24,24 June 2015,23:47:33,Customer Care Call,Alexandria,Indiana,46001,Solved,No
238694,Comcast owes me $65 and claims I need to return equipment I never had,2015-04-16,16 April 2015,10:04:57,Internet,Alexandria,Virginia,22304,Closed,No
230876,Horrible Internet Service,2015-11-04,04 November 2015,19:48:05,Customer Care Call,Alexandria,Virginia,22305,Closed,No
318725,Failure to provide services that I am billed for.,2015-02-06,06 February 2015,13:03:52,Customer Care Call,Alexandria,Virginia,22314,Closed,No
327657,Internet out all the time but they have a monopoly,2015-07-06,06 July 2015,20:55:43,Customer Care Call,Alexandria,Virginia,22305,Solved,No
328742,horrible cable service and customer service,2015-08-06,06 August 2015,15:18:58,Internet,Alexandria,Virginia,22312,Solved,No
328165,Speed,2015-08-06,06 August 2015,12:03:37,Customer Care Call,Alexandria,Virginia,22304,Solved,No
370538,Comcast monopoly bundling practices,2015-06-27,27 June 2015,21:04:34,Internet,Alexandria,Virginia,22304,Open,No
370363,COMCAST!,2015-06-27,27 June 2015,18:37:29,Internet,Alexandria,Virginia,22305,Solved,No
270163,bait and switch,2015-02-05,05 February 2015,15:55:24,Internet,Algonquin,Illinois,60102,Open,Yes
355976,Comcast Customer Service,2015-06-22,22 June 2015,14:10:39,Internet,Aliquippa,Pennsylvania,15001,Open,No
260651,Apartment Management's Exclusivity Contract with Comcast,2015-04-28,28 April 2015,08:01:46,Customer Care Call,Allston,Massachusetts,2134,Closed,No
305340,Unable to reach a Comcast agent for internet and billing issues.,2015-05-24,24 May 2015,14:57:47,Customer Care Call,Aloha,Oregon,97006,Solved,No
360759,Wifi internet not working as well,2015-06-24,24 June 2015,02:23:23,Internet,Aloha,Oregon,97006,Pending,No
265487,Comcast data caps,2015-04-29,29 April 2015,21:40:19,Internet,Alpharetta,Georgia,30022,Closed,No
296608,Comcast Internet Data Cap,2015-05-19,19 May 2015,10:56:20,Internet,Alpharetta,Georgia,30022,Solved,No
310990,XFINITY Movers Edge program,2015-05-28,28 May 2015,10:37:13,Customer Care Call,Alpharetta,Georgia,30022,Solved,No
325342,Comcast Data Internet Usage,2015-05-06,06 May 2015,13:25:58,Internet,Alpharetta,Georgia,30022,Solved,No
337489,Comcast not refunding my credit,2015-12-06,06 December 2015,15:59:57,Internet,Alpharetta,Georgia,30005,Solved,No
354116,Comcast,2015-06-20,20 June 2015,17:03:09,Internet,Alpharetta,Georgia,30022,Solved,No
371829,No Service,2015-06-29,29 June 2015,11:23:38,Internet,Alpharetta,Georgia,30005,Closed,No
373874,Comcast,2015-06-30,30 June 2015,00:24:57,Customer Care Call,Alvin,Texas,77511,Solved,No
300824,INTERNET  BILLING AND SERVIE ISSUES,2015-05-21,21 May 2015,09:34:19,Customer Care Call,Ambridge,Pennsylvania,15003,Open,No
348923,Comcast blocking DirecTv signals,2015-06-18,18 June 2015,13:50:02,Customer Care Call,Ambridge,Pennsylvania,15003,Open,No
302574,pmts,2015-05-21,21 May 2015,20:53:29,Internet,Amesbury,Massachusetts,1913,Open,No
343346,Slow Internet Speed,2015-06-16,16 June 2015,13:45:58,Internet,Amherst,New Hampshire,3031,Open,No
286768,not getting what I am paying for with internet,2015-12-05,05 December 2015,21:06:01,Customer Care Call,Andover,Minnesota,55304,Solved,No
223179,Comcast bandwidth every evening drops to 10% of what is promised to our business,2015-08-04,04 August 2015,01:04:24,Internet,Angels Camp,California,95222,Closed,No
235980,isp dishonest about speeds,2015-04-14,14 April 2015,20:57:50,Customer Care Call,Angels Camp,California,95222,Closed,No
236469,Deceptive sales- change in billing amount etc.,2015-04-15,15 April 2015,10:16:14,Internet,Ann Arbor,Michigan,48104,Closed,No
288602,Comcast Billing Dispute,2015-05-13,13 May 2015,18:20:32,Internet,Ann Arbor,Michigan,48105,Closed,No
309379,Comcast,2015-05-27,27 May 2015,13:50:37,Internet,Ann Arbor,Michigan,48105,Solved,No
351079,Comcast Billing and Service Issues,2015-06-19,19 June 2015,09:19:46,Internet,Ann Arbor,Michigan,48105,Solved,No
366705,Cable prices rising,2015-06-25,25 June 2015,18:17:58,Internet,Ann Arbor,Michigan,48103,Solved,No
368705,service issues,2015-06-26,26 June 2015,15:56:18,Internet,Annapolis,Maryland,21401,Solved,No
347369,HBO GO on Playstation 4,2015-06-17,17 June 2015,20:41:23,Internet,Annville,Pennsylvania,17003,Solved,No
291784,internet connectivity,2015-05-15,15 May 2015,13:07:11,Customer Care Call,Anoka,Minnesota,55303,Solved,No
308478,Email issues,2015-05-26,26 May 2015,21:45:02,Customer Care Call,Antioch,California,94509,Solved,No
309851,Monopoly,2015-05-27,27 May 2015,16:24:46,Internet,Antioch,Tennessee,37013,Solved,No
367342,Complaint against Xfinity/Comcast,2015-06-26,26 June 2015,02:38:50,Internet,Aptos,California,95003,Closed,No
227209,Comcast credit after cancellation has not been received after more than a year,2015-09-04,04 September 2015,16:40:05,Customer Care Call,Arlington,Virginia,22202,Closed,No
266376,Comcast False Promises,2015-04-30,30 April 2015,13:06:52,Internet,Arlington,Virginia,22206,Closed,No
325273,Comcast Blocking UDP Port 443,2015-05-06,06 May 2015,13:02:10,Customer Care Call,Arlington,Virginia,22206,Closed,Yes
342435,Issues with Comcast,2015-06-15,15 June 2015,22:39:15,Internet,Arlington,Virginia,22206,Solved,No
348514,Comcast Refuses to Schedule a Future Service Stoppage,2015-06-18,18 June 2015,12:02:57,Internet,Arlington,Virginia,22204,Solved,No
352100,Comcast,2015-06-19,19 June 2015,14:36:57,Internet,Arlington,Virginia,22206,Open,No
355887,Overbilling,2015-06-22,22 June 2015,13:45:40,Customer Care Call,Arlington,Virginia,22207,Solved,Yes
356118,Comcast - failure to provide service refusal to void contract,2015-06-22,22 June 2015,14:41:05,Customer Care Call,Arlington,Virginia,22206,Solved,No
363869,Spotty Comcast service,2015-06-25,25 June 2015,08:03:27,Customer Care Call,Arlington,Virginia,22202,Solved,No
369398,without service despite willingness to pay,2015-06-26,26 June 2015,21:09:12,Customer Care Call,Arlington,Virginia,22204,Open,No
226231,Issues with Xfinity/Comcast,2015-09-04,04 September 2015,12:24:32,Customer Care Call,Arlington Heights,Illinois,60004,Closed,No
241880,Cable Modem rent for Internet access,2015-04-17,17 April 2015,15:48:16,Internet,Arlington Heights,Illinois,60004,Closed,No
360187,Comcast/Xfinity,2015-06-23,23 June 2015,21:27:28,Customer Care Call,Arvada,Colorado,80004,Solved,No
223960,Speed issues,2015-08-04,04 August 2015,12:53:45,Internet,Ashland,Virginia,23005,Closed,No
355934,AT&T,2015-06-22,22 June 2015,13:58:04,Customer Care Call,Athens,Tennessee,37303,Solved,No
211976,Fraudulent claims reported to collections agency,2015-01-04,04 January 2015,13:26:53,Customer Care Call,Atlanta,Georgia,30312,Closed,No
243998,Comcast using a Data Cap to take however much money they like,2015-04-19,19 April 2015,22:49:13,Internet,Atlanta,Georgia,30097,Closed,No
265755,Comcast Data Cap,2015-04-30,30 April 2015,08:50:19,Customer Care Call,Atlanta,Georgia,30339,Closed,No
230907,Speed of service,2015-11-04,04 November 2015,20:30:03,Customer Care Call,Atlanta,Georgia,30319,Closed,No
231273,Comcast's Monopolistic Practices and Data Capping,2015-12-04,04 December 2015,15:22:03,Internet,Atlanta,Georgia,30315,Closed,No
231292,"Comcast data cap ""trials""",2015-12-04,04 December 2015,15:45:26,Internet,Atlanta,Georgia,30316,Closed,No
231377,Comcast billing problem,2015-12-04,04 December 2015,18:18:10,Internet,Atlanta,Georgia,30308,Closed,No
252681,Comcast Needs Competition,2015-04-23,23 April 2015,14:26:10,Customer Care Call,Atlanta,Georgia,30315,Closed,No
268101,Comcast services/billing issues,2015-01-05,05 January 2015,10:00:59,Customer Care Call,Atlanta,Georgia,30316,Solved,No
269066,Incorrect Bill,2015-01-05,05 January 2015,15:43:37,Customer Care Call,Atlanta,Georgia,30317,Solved,No
273420,Legality of data caps,2015-05-05,05 May 2015,11:58:26,Internet,Atlanta,Georgia,30315,Closed,No
278509,Data caps,2015-07-05,05 July 2015,14:55:45,Internet,Atlanta,Georgia,30363,Open,No
279656,Comcast Added Service After I Declined It,2015-08-05,05 August 2015,08:47:45,Internet,Atlanta,Georgia,30345,Solved,No
288771,Comcast Misled With Overage Policy,2015-05-13,13 May 2015,19:55:53,Internet,Atlanta,Georgia,30317,Open,No
293512,Cable service and telephone connect not complete,2015-05-16,16 May 2015,16:29:33,Customer Care Call,Atlanta,Georgia,30311,Solved,Yes
297104,Comcast data cap,2015-05-19,19 May 2015,13:51:11,Customer Care Call,Atlanta,Georgia,30305,Solved,No
303412,Comcast Won't Cancel My Service,2015-05-22,22 May 2015,13:09:51,Customer Care Call,Atlanta,Georgia,30318,Solved,No
304450,Data Caps,2015-05-23,23 May 2015,00:05:55,Internet,Atlanta,Georgia,30318,Open,No
305137,Comcast disconnecting service before due date,2015-05-23,23 May 2015,23:34:43,Internet,Atlanta,Georgia,30324,Open,No
305982,comcast data cap,2015-05-25,25 May 2015,15:34:56,Internet,Atlanta,Georgia,30309,Open,No
307799,Comcast,2015-05-26,26 May 2015,16:29:57,Customer Care Call,Atlanta,Georgia,30318,Solved,No
308171,Unbelievable Treatment,2015-05-26,26 May 2015,18:40:25,Customer Care Call,Atlanta,Georgia,30310,Solved,No
312746,Denial of Comcast Business (Phone and internet) Service to my dental practice,2015-05-28,28 May 2015,22:35:40,Customer Care Call,Atlanta,Georgia,30324,Solved,No
311725,Comcast's Terrible Service - How are they still in business?,2015-05-28,28 May 2015,14:46:47,Internet,Atlanta,Georgia,30309,Solved,No
313949,they are forcing me for my bank account information by suspending my services for no reason (I also feel like they are committing corporate theft).,2015-05-29,29 May 2015,15:56:01,Internet,Atlanta,Georgia,30314,Solved,No
315173,Comcast discontinuation of service issue,2015-05-30,30 May 2015,15:27:41,Customer Care Call,Atlanta,Georgia,30312,Open,No
317945,Comcast customer service,2015-01-06,06 January 2015,21:32:46,Customer Care Call,Atlanta,Georgia,30329,Closed,No
318301,Comcast,2015-02-06,06 February 2015,10:06:22,Customer Care Call,Atlanta,Georgia,30315,Closed,No
322511,Comcast bandwidth data caps in Atlanta GA,2015-03-06,06 March 2015,23:59:33,Internet,Atlanta,Georgia,30341,Closed,Yes
322882,Comcast won't quit charging me for modem rental,2015-04-06,06 April 2015,10:58:18,Internet,Atlanta,Georgia,30317,Solved,No
323473,Comcast download caps,2015-04-06,06 April 2015,14:18:03,Internet,Atlanta,Georgia,30345,Solved,No
325596,Horrible Comcast Customer Service,2015-05-06,06 May 2015,14:46:43,Customer Care Call,Atlanta,Georgia,30339,Solved,No
327291,Data Cap,2015-07-06,06 July 2015,10:01:52,Internet,Atlanta,Georgia,30309,Solved,No
334035,Bad Customer Service,2015-10-06,06 October 2015,22:24:00,Internet,Atlanta,Georgia,30331,Solved,No
340637,disconnection of service,2015-06-15,15 June 2015,10:56:55,Customer Care Call,Atlanta,Georgia,30306,Solved,No
341535,Comcast Data Usage Charges,2015-06-15,15 June 2015,15:39:09,Customer Care Call,Atlanta,Georgia,30309,Open,No
350016,Comcast refuses service to my address,2015-06-18,18 June 2015,16:45:38,Customer Care Call,Atlanta,Georgia,30318,Solved,No
349567,Comcast will not let me discuss my bill or service with a representative,2015-06-18,18 June 2015,15:36:45,Customer Care Call,Atlanta,Georgia,30324,Solved,No
349716,Comcast billing frauds,2015-06-18,18 June 2015,15:53:05,Internet,Atlanta,Georgia,30328,Solved,No
354254,Comcast TV/Internet hookup,2015-06-20,20 June 2015,19:16:33,Internet,Atlanta,Georgia,30341,Solved,No
355121,no service for 5+ days,2015-06-22,22 June 2015,09:05:33,Internet,Atlanta,Georgia,30341,Solved,No
357856,Comcast - Billing,2015-06-23,23 June 2015,11:35:54,Customer Care Call,Atlanta,Georgia,30363,Open,No
359719,Comcast Internet,2015-06-23,23 June 2015,18:27:47,Customer Care Call,Atlanta,Georgia,30307,Solved,No
359260,Comcast speed integrity,2015-06-23,23 June 2015,16:30:18,Customer Care Call,Atlanta,Georgia,30308,Pending,No
358601,Data cap,2015-06-23,23 June 2015,14:21:23,Internet,Atlanta,Georgia,30306,Pending,No
362076,Comcast Atlanta Data Caps,2015-06-24,24 June 2015,14:13:31,Internet,Atlanta,Georgia,30306,Pending,No
362097,Comcast Atlanta Data Caps,2015-06-24,24 June 2015,14:18:32,Internet,Atlanta,Georgia,30324,Pending,No
363616,COMCAST Poor Customer Service,2015-06-24,24 June 2015,22:28:58,Internet,Atlanta,Georgia,30345,Open,No
361720,Overage on 300GB data plan with Comcast,2015-06-24,24 June 2015,12:39:59,Customer Care Call,Atlanta,Georgia,30306,Solved,No
362223,Comcast bill,2015-06-24,24 June 2015,14:43:13,Customer Care Call,Atlanta,Georgia,30316,Solved,No
363102,Comcast Data Cap,2015-06-24,24 June 2015,18:24:57,Customer Care Call,Atlanta,Georgia,30328,Pending,No
363235,Unfair Billing Practices,2015-06-24,24 June 2015,19:12:16,Internet,Atlanta,Georgia,30307,Solved,No
363424,Comcast data caps,2015-06-24,24 June 2015,20:42:06,Customer Care Call,Atlanta,Georgia,30327,Solved,No
365321,Comcast Refusing to Honor Internet Rate,2015-06-25,25 June 2015,14:08:35,Internet,Atlanta,Georgia,30324,Solved,No
363860,speed,2015-06-25,25 June 2015,07:33:58,Internet,Atlanta,Georgia,30316,Open,No
368838,Not Acceptable Internet Additional Charge.,2015-06-26,26 June 2015,16:42:51,Customer Care Call,Atlanta,Georgia,30339,Solved,No
367718,Comcast internet and cable service,2015-06-26,26 June 2015,11:02:54,Customer Care Call,Atlanta,Georgia,30316,Open,Yes
370846,Comcast deceptive advertising overage charges,2015-06-28,28 June 2015,12:08:05,Internet,Atlanta,Georgia,30329,Pending,No
372331,Comcast Data Caps,2015-06-29,29 June 2015,13:49:15,Internet,Atlanta,Georgia,30324,Pending,Yes
373205,Comcast: Xfinity Slamming,2015-06-29,29 June 2015,17:41:37,Internet,Atlanta,Georgia,30315,Closed,No
375377,Comcast Support Unable to Provide Accurate Information,2015-06-30,30 June 2015,16:17:34,Internet,Atlanta,Georgia,30328,Open,No
373977,Comcast Data Usage Limits,2015-06-30,30 June 2015,08:14:37,Internet,Atlanta,Georgia,30342,Pending,No
344456,Repeated Erroneous Modem Rental Charge,2015-06-16,16 June 2015,20:17:10,Customer Care Call,Atlanta,Georgia,30308,Solved,No
374159,Xfinity pricing,2015-06-30,30 June 2015,10:33:18,Customer Care Call,Atlantic Beach,Florida,32233,Solved,No
359224,Comcast monopoly,2015-06-23,23 June 2015,16:22:19,Internet,Attalla,Alabama,35954,Solved,No
274956,Internet connection both upload and download speeds,2015-05-05,05 May 2015,19:34:03,Customer Care Call,Attica,Indiana,47918,Open,No
338651,Internet Availability,2015-06-13,13 June 2015,01:07:20,Internet,Attica,Michigan,48412,Open,No
369453,"Comcast ""50 mb/s"" speed and throttling",2015-06-26,26 June 2015,22:15:55,Internet,Auburn,Georgia,30011,Pending,No
221984,Complaint against Comcast,2015-07-04,04 July 2015,14:43:14,Internet,Auburn,Pennsylvania,17922,Closed,No
346885,Comcast,2015-06-17,17 June 2015,18:17:59,Internet,Auburn,Washington,98092,Open,No
359070,Comcast (Xfinity) Monopolistic Billing Practices,2015-06-23,23 June 2015,15:49:46,Internet,Auburn,Washington,98092,Closed,No
372769,Internet Throttling,2015-06-29,29 June 2015,15:47:44,Internet,Auburn,Washington,98092,Solved,No
311239,Data Usage Overage,2015-05-28,28 May 2015,12:16:01,Internet,Augusta,Georgia,30907,Solved,Yes
339371,double billing after change of service,2015-06-13,13 June 2015,17:24:59,Internet,Augusta,Georgia,30904,Solved,Yes
360222,Bandwidth Caps becoming excessive,2015-06-23,23 June 2015,21:36:55,Internet,Augusta,Georgia,30907,Solved,No
370518,Comcast data limits,2015-06-27,27 June 2015,20:32:23,Customer Care Call,Augusta,Georgia,30904,Solved,Yes
335988,Unable to cancel xfinity home security,2015-11-06,06 November 2015,21:11:33,Customer Care Call,Aurora,Colorado,80012,Solved,No
361604,Comcast trying to setup stuff we didn't order,2015-06-24,24 June 2015,12:16:47,Customer Care Call,Aurora,Colorado,80011,Solved,No
369583,Terrible waiting times,2015-06-27,27 June 2015,01:21:11,Internet,Aurora,Colorado,80014,Solved,Yes
342399,Incorrect prices for new customers,2015-06-15,15 June 2015,21:50:41,Customer Care Call,Aurora,Illinois,60503,Open,No
359858,Comcast is throttling my internet,2015-06-23,23 June 2015,19:16:40,Customer Care Call,Aurora,Illinois,60503,Pending,No
363993,Internet Pricing,2015-06-25,25 June 2015,09:30:43,Customer Care Call,Aurora,Illinois,60502,Open,No
223256,MISC. CHARGES,2015-08-04,04 August 2015,07:51:06,Customer Care Call,Austell,Georgia,30106,Closed,No
375093,Comast data cap,2015-06-30,30 June 2015,15:07:14,Customer Care Call,Austell,Georgia,30168,Pending,No
347937,Comcast throttles internet,2015-06-18,18 June 2015,09:15:45,Customer Care Call,Austin,Texas,78731,Open,No
360286,throttling,2015-06-23,23 June 2015,22:07:17,Internet,Avon,Colorado,81620,Pending,Yes
279378,Forced Bundling of Internet Service with CATV,2015-07-05,05 July 2015,21:16:13,Customer Care Call,Ayer,Massachusetts,1432,Open,No
301854,Comcast Internet,2015-05-21,21 May 2015,16:31:00,Customer Care Call,Baden,Pennsylvania,15005,Closed,Yes
306805,Failure to deliver service,2015-05-26,26 May 2015,11:29:54,Customer Care Call,Bainbridge Island,Washington,98110,Solved,No
373653,Comcast HBO Go PS4 app,2015-06-29,29 June 2015,20:40:56,Customer Care Call,Bainbridge Island,Washington,98110,Pending,No
304583,Comcast's refusal to recognize written notice of termination of service,2015-05-23,23 May 2015,10:37:56,Customer Care Call,Bala Cynwyd,Pennsylvania,19004,Solved,No
324795,Rates,2015-05-06,06 May 2015,09:59:39,Internet,Bala Cynwyd,Pennsylvania,19004,Closed,No
348338,Termination Fee,2015-06-18,18 June 2015,11:14:49,Internet,Ballston Lake,New York,12019,Solved,No
241422,Comcast internet/cable,2015-04-17,17 April 2015,13:21:20,Internet,Baltimore,Maryland,21224,Closed,No
252368,I AM BEING CHARGE DOUBLE FOR MY CABLE BILL.,2015-04-23,23 April 2015,12:56:29,Customer Care Call,Baltimore,Maryland,21207,Open,No
259003,REPEATED Comcast billing issues,2015-04-27,27 April 2015,13:35:21,Customer Care Call,Baltimore,Maryland,21239,Closed,No
312881,unauthorized comcast username setup,2015-05-29,29 May 2015,06:31:23,Customer Care Call,Baltimore,Maryland,21206,Open,No
319505,Services turned off in retaliation for complaints,2015-02-06,06 February 2015,17:14:14,Customer Care Call,Baltimore,Maryland,21218,Closed,No
342923,Comcast does not disclose the Internet speed I'm paying for anywhere on my bill or online,2015-06-16,16 June 2015,11:17:13,Customer Care Call,Baltimore,Maryland,21218,Open,No
343096,Internet speeds disclosure on bill,2015-06-16,16 June 2015,12:11:39,Internet,Baltimore,Maryland,21218,Solved,No
343625,Internet speed not disclosed,2015-06-16,16 June 2015,15:09:53,Customer Care Call,Baltimore,Maryland,21237,Solved,No
348974,Intermittent Service,2015-06-18,18 June 2015,14:04:40,Customer Care Call,Baltimore,Maryland,21209,Solved,No
356080,Comcast billing practices,2015-06-22,22 June 2015,14:31:19,Internet,Baltimore,Maryland,21218,Solved,No
360196,monopoly,2015-06-23,23 June 2015,21:28:56,Internet,Baltimore,Maryland,21225,Solved,No
358485,Consistently Slow and Throttled Internet Speeds,2015-06-23,23 June 2015,13:56:14,Internet,Baltimore,Maryland,21217,Pending,No
360378,Paying for high speed internet with Comcast. Consistently getting slow service.,2015-06-23,23 June 2015,22:37:16,Internet,Baltimore,Maryland,21202,Open,No
357904,Comcast Monopoly on Packages is costing me more money for same service,2015-06-23,23 June 2015,11:49:09,Customer Care Call,Baltimore,Maryland,21212,Solved,No
361480,hidden fees dropped internet connection,2015-06-24,24 June 2015,11:43:44,Internet,Baltimore,Maryland,21224,Solved,Yes
364840,COMCAST HIGH SPEED INTERNET MONOPOLY,2015-06-25,25 June 2015,12:58:48,Internet,Baltimore,Maryland,21224,Solved,No
368793,ComCast cable In Maryland,2015-06-26,26 June 2015,16:25:27,Customer Care Call,Baltimore,Maryland,21222,Solved,No
370296,Billing Dispute & Poor Customer Service,2015-06-27,27 June 2015,17:21:39,Internet,Baltimore,Maryland,21239,Closed,No
373716,Comcast change contract,2015-06-29,29 June 2015,21:27:12,Customer Care Call,Baltimore,Maryland,21239,Solved,Yes
360325,Comcast throttle,2015-06-23,23 June 2015,22:16:47,Customer Care Call,Bargersville,Indiana,46106,Pending,No
249688,Xfinity WiFi access,2015-04-22,22 April 2015,10:53:59,Internet,Barnegat,New Jersey,8005,Closed,No
270364,No internet no cable,2015-02-05,05 February 2015,21:14:09,Customer Care Call,Barrington,Illinois,60010,Open,No
256911,Internet service slow and intermittent,2015-04-25,25 April 2015,13:09:19,Customer Care Call,Bartlett,Tennessee,38133,Closed,No
332159,Comcast Account,2015-10-06,06 October 2015,10:09:01,Customer Care Call,Bartlett,Tennessee,38135,Solved,No
294386,Week long issues with speed and no help from comcast,2015-05-18,18 May 2015,09:36:31,Internet,Bartonville,Illinois,61607,Solved,No
327139,Data Usage Cap Maine,2015-06-06,06 June 2015,20:04:42,Customer Care Call,Bath,Maine,4530,Open,No
360806,Comcasts Shady Business Practices,2015-06-24,24 June 2015,03:43:45,Internet,Battle Ground,Washington,98604,Open,Yes
375249,Comcast cable,2015-06-30,30 June 2015,15:47:29,Internet,Beach Haven,New Jersey,8008,Pending,No
373009,Comcast Pricing,2015-06-29,29 June 2015,16:50:06,Internet,Beachwood,New Jersey,8722,Open,No
229055,Comcast Complaint,2015-10-04,04 October 2015,14:35:54,Internet,Beale Afb,California,95903,Closed,No
365445,CABLE,2015-06-25,25 June 2015,14:25:23,Internet,Beaver Falls,Pennsylvania,15010,Solved,No
252877,Comcast Charges,2015-04-23,23 April 2015,15:20:54,Customer Care Call,Beaverton,Oregon,97005,Open,No
316088,Comcast,2015-05-31,31 May 2015,23:02:38,Customer Care Call,Beaverton,Oregon,97006,Pending,No
297569,Internet needed!,2015-05-19,19 May 2015,16:23:00,Internet,Bedford,Indiana,47421,Solved,No
282375,Deceptive Practices,2015-10-05,05 October 2015,09:54:33,Internet,Bedford,Pennsylvania,15522,Solved,No
249174,Comcast fraud,2015-04-21,21 April 2015,21:56:13,Internet,Bel Air,Maryland,21014,Closed,No
327919,Complaint CR Comcast Problem - VOIP Phone not working for days,2015-08-06,06 August 2015,10:23:24,Internet,Bel Air,Maryland,21014,Solved,No
238313,Comcast,2015-04-15,15 April 2015,21:40:42,Internet,Belleville,Michigan,48111,Closed,No
226213,Double-billing,2015-09-04,04 September 2015,12:15:51,Internet,Bellevue,Washington,98004,Closed,No
216441,download speeds slower than dial-up but paying for 25 Mbps,2015-03-04,04 March 2015,13:41:50,Internet,Bellevue,Washington,98006,Closed,No
364301,Comcast billing error,2015-06-25,25 June 2015,11:33:32,Internet,Bellingham,Washington,98229,Solved,Yes
367375,Comcast Internet Technical Support,2015-06-26,26 June 2015,04:54:18,Internet,Bellingham,Washington,98225,Solved,No
235996,Comcast Blocking HBOGo on PS4,2015-04-14,14 April 2015,21:08:59,Customer Care Call,Belmont,California,94002,Closed,No
231265,Residentail Broadband Data Caps,2015-12-04,04 December 2015,15:10:25,Internet,Belmont,Michigan,49306,Closed,No
363097,Comcast,2015-06-24,24 June 2015,18:24:00,Internet,Belton,Missouri,64012,Open,No
304557,Monthly Charges Increased without any notice,2015-05-23,23 May 2015,10:19:35,Internet,Beltsville,Maryland,20705,Solved,No
260284,Comcast internet for low income families,2015-04-27,27 April 2015,20:57:16,Customer Care Call,Belvidere,Illinois,61008,Closed,No
260286,Comcast internet for low income families,2015-04-27,27 April 2015,20:57:43,Internet,Belvidere,Illinois,61008,Closed,No
272802,Comcast Service and customer service representative,2015-04-05,05 April 2015,20:59:22,Internet,Bensalem,Pennsylvania,19020,Closed,No
293050,Poor internet connection/dropped connection since installation of new modem,2015-05-16,16 May 2015,08:32:31,Internet,Bensalem,Pennsylvania,19020,Solved,No
351961,Comcast Billing,2015-06-19,19 June 2015,13:46:28,Internet,Bensalem,Pennsylvania,19020,Solved,Yes
360739,Bank Fee Refund Reques,2015-06-24,24 June 2015,01:48:55,Internet,Berkeley,California,94704,Closed,No
360830,COMCAST Unfair Charge,2015-06-24,24 June 2015,04:24:26,Internet,Berkeley,California,94705,Pending,No
370385,Wrongful Billing,2015-06-27,27 June 2015,18:44:08,Customer Care Call,Berkeley,California,94704,Solved,No
232450,Billing problem,2015-04-13,13 April 2015,14:26:56,Customer Care Call,Berkeley Lake,Georgia,30096,Closed,No
373879,Service refusal and lower than advertised speeds.,2015-06-30,30 June 2015,00:40:28,Internet,Berkeley Spring,West Virginia,25411,Open,No
347973,COMCAST - MAJOR COMPLAINT 1ST TIME CUSTOMER - AGGRAVATED HEALTH ISSUES,2015-06-18,18 June 2015,09:37:51,Customer Care Call,Berwyn,Pennsylvania,19312,Closed,No
353984,Connecting the service,2015-06-20,20 June 2015,15:28:21,Customer Care Call,Bethesda,Maryland,20817,Solved,No
348310,Over Charge by lying,2015-06-18,18 June 2015,11:08:53,Internet,Blacksburg,Virginia,24060,Solved,No
300985,Comcast keeps changing bill and every time gives new reasons!!,2015-05-21,21 May 2015,11:29:53,Internet,Blackwood,New Jersey,8012,Solved,No
336029,Ad in craigslist was a scam for selling product not owned,2015-11-06,06 November 2015,21:31:55,Internet,Blackwood,New Jersey,8012,Closed,No
